x;exp_x
0.0;1.0
0.016;1.016128685406095
0.032;1.0325175053051183
0.048;1.0491706553244706
0.064;1.0660923987615052
0.08;1.0832870676749586
0.096;1.1007590639939788
0.112;1.1185128606450452
0.128;1.1365530026970603
0.144;1.1548841085249135
0.16;1.1735108709918103
0.176;1.1924380586506695
0.192;1.2116705169649005
0.208;1.2312131695488677
0.224;1.2510710194283623
0.24;1.2712491503214047
0.256;1.291752727939704
0.272;1.3125870013111083
0.288;1.3337573041233846
0.304;1.3552690560896716
0.32;1.3771277643359572
0.336;1.3993390248109305
0.352;1.4219085237185773
0.368;1.444842038973879
0.384;1.4681454416819895
0.4;1.4918246976412703
0.416;1.515885868870569
0.432;1.540335115161127
0.448;1.5651786956535216
0.464;1.5904229704400392
0.48;1.6160744021928934
0.496;1.6421395578187052
0.512;1.668625110139667
0.528;1.69553783960182
0.544;1.7228846360108874
0.56;1.7506725002961012
0.576;1.7789085463024783
0.592;1.8076000026120045
0.608;1.8367542143941897
0.624;1.8663786452864723
0.64;1.8964808793049515
0.656;1.927068622785935
0.672;1.9581497063588058
0.688;1.9897320869507038
0.704;2.0218238498235444
0.72;2.0544332106438876
0.736;2.087568517586196
0.752;2.121238253470012
0.768;2.155451037931604
0.784;2.190215629630643
0.8;2.225540928492468
0.816;2.2614359779865105
0.832;2.2979099674414796
0.848;2.3349722343978727
0.864;2.3726322669984423
0.88;2.4108997064172097
0.896;2.4497843493276594
0.912;2.48929615041074
0.928;2.5294452249033177
0.944;2.570241851187732
0.96;2.611696473423118
0.976;2.6538197042191665
0.992;2.696622327353013
1.008;2.7401153005299412
1.024;2.7843097581886154
1.04;2.82921701435156
1.056;2.874848565521607
1.072;2.921216093625068
1.088;2.9683314690023677
1.104;3.0162067534469186
1.12;3.0648542032930024
1.136;3.114286272553462
1.152;3.1645156161079964
1.168;3.2155550929428767
1.184;3.2674177694429183
1.2;3.3201169227365472
1.216;3.3736660440948167
1.232;3.4280788423852466
1.248;3.483369247581368
1.264;3.5395514143288733
1.28;3.5966397255692817
1.296;3.6546487962220517
1.312;3.7135934769260803
1.328;3.773488857841547
1.344;3.8343502725130776
1.36;3.896193301795215
1.376;3.959033777841203
1.392;4.022887788156107
1.408;4.087771679715297
1.424;4.153702063149369
1.44;4.220695816996552
1.456;4.288770092023711
1.472;4.357942315617029
1.488;4.428230196243525
1.504;4.4996517279845065
1.52;4.572225195142159
1.536;4.645969176920428
1.552;4.720902552181391
1.568;4.797044504278355
1.584;4.8744145259668965
1.6;4.953032424395115
1.616;5.0329183261743715
1.632;5.114092682531806
1.648;5.196576274545973
1.664;5.280390218466901
1.68;5.3655559711219745
1.696;5.452095335408995
1.712;5.540030465877844
1.728;5.629383874402168
1.744;5.720178435942544
1.76;5.812437394402589
1.776;5.906184368579529
1.792;6.001443358210744
1.808;6.098238750117822
1.824;6.19659532444973
1.84;6.296538261026657
1.856;6.398093145786196
1.872;6.501285977333473
1.888;6.606143173596939
1.904;6.712691578591505
1.92;6.8209584692907494
1.936;6.930971562609978
1.952;7.042759022501904
1.968;7.156349467166773
1.984;7.271771976378781
2.0;7.38905609893065
2.016;7.508231860198289
2.032;7.629329769827446
2.048;7.752380829544347
2.064;7.877416541092307
2.08;8.004468914296353
2.096;8.133570475257905
2.112;8.264754274681641
2.128;8.398053896336657
2.144;8.533503465654102
2.16;8.671137658463456
2.176;8.810991709869755
2.192;8.953101423273955
2.208;9.0975031795388
2.224;9.24423394630253
2.24;9.393331287442784
2.256;9.544833372693173
2.272;9.698778987414936
2.288;9.855207542526195
2.304;10.014159084591371
2.32;10.175674306073333
2.336;10.339794555750872
2.352;10.50656184930423
2.368;10.676018880071336
2.384;10.848209029977536
2.4;11.023176380641601
2.416;11.200965724660865
2.432;11.381622577078371
2.448;11.565193187034973
2.464;11.751724549609373
2.48;11.941264417849103
2.496;12.133861314995585
2.512;12.329564546906333
2.528;12.528424214677527
2.544;12.73049122747016
2.56;12.935817315543076
2.576;13.144455043496185
2.592;13.356457823727292
2.608;13.571879930105963
2.624;13.790776511867936
2.64;14.013203607733615
2.656;14.239218160254303
2.672;14.468878030389797
2.688;14.702242012321111
2.704;14.93936984850211
2.72;15.1803222449539
2.736;15.425160886805903
2.752;15.673948454087588
2.768;15.926748637774914
2.784;16.183626156095535
